a, nm	F, fN
199.77	-38.244
203.36	-35.914
209.25	-33.55
214.88	-31.4
219.48	-29.322
224.59	-27.817
228.44	-25.846
235.08	-24.414
239.93	-23.016
244.53	-21.583
249.89	-20.509
255.25	-19.399
260.61	-18.396
264.44	-17.249
270.31	-16.318
274.14	-15.172
279.75	-15.029
284.09	-14.062
289.95	-13.382
295.56	-12.63
299.14	-11.95
305.5	-11.592
309.58	-11.055
314.68	-10.662
318.76	-10.125
325.64	-9.445
330.74	-8.979
335.07	-9.123
338.64	-8.55
345.01	-8.121
348.84	-7.405
354.44	-7.477
360.55	-7.048
365.14	-6.87
369.72	-6.44
373.8	-6.154
380.93	-6.083
385.01	-5.761
390.1	-5.798
395.71	-5.261
400.03	-5.584
405.64	-4.904
410.48	-4.905
414.81	-4.726
419.9	-4.476
424.74	-4.513
429.84	-4.047
435.43	-4.227
440.28	-3.762
445.12	-3.727
448.68	-3.871
455.55	-3.872
460.14	-3.478
465.23	-3.264
470.32	-3.48
474.65	-3.158
479.49	-3.409
483.82	-3.231
489.17	-2.909
494.52	-2.838
500.11	-3.054
506.23	-2.517
511.32	-2.625
514.88	-2.697
519.72	-2.447
525.83	-2.52
530.42	-2.485
534.49	-2.091
540.34	-2.522
545.95	-2.021
550.53	-2.093
554.6	-2.237
558.93	-2.166
566.32	-1.88
569.12	-1.881
575.74	-1.774
585.67	-2.062
591.02	-1.848
596.11	-1.634
599.42	-1.527
605.02	-1.563
613.93	-1.672
620.04	-1.637
624.88	-1.459
630.99	-1.675
633.53	-1.747
639.39	-1.64
645.24	-1.641
651.36	-1.355
655.94	-1.356
659.51	-1.141
665.1	-1.357
670.7	-1.465
675.8	-1.394
680.64	-1.252
685.22	-1.252
688.78	-1.253
695.15	-0.931
698.97	-0.968
