          a, nm      Drude, fN     Gen_Plasma
        199.770         14.485         11.104
        203.360         13.323         10.081
        209.250         12.721          9.693
        214.880         12.100          9.260
        219.480         11.167          8.469
        224.590         10.839          8.287
        228.440          9.691          7.243
        235.080          9.565          7.284
        239.930          9.039          6.869
        244.530          8.377          6.306
        249.890          8.133          6.171
        255.250          7.791          5.930
        260.610          7.496          5.730
        264.440          6.823          5.120
        270.310          6.570          4.959
        274.140          5.837          4.282
        279.750          6.260          4.783
        284.090          5.703          4.282
        289.950          5.538          4.190
        295.560          5.243          3.959
        299.140          4.838          3.593
        305.500          4.937          3.758
        309.580          4.674          3.534
        314.680          4.605          3.513
        318.760          4.313          3.256
        325.640          4.017          3.017
        330.740          3.817          2.857
        335.070          4.174          3.246
        338.640          3.768          2.865
        345.010          3.620          2.760
        348.840          3.064          2.229
        354.440          3.357          2.556
        360.550          3.153          2.387
        365.140          3.135          2.394
        369.720          2.856          2.139
        373.800          2.698          2.002
        380.930          2.838          2.176
        385.010          2.629          1.986
        390.100          2.801          2.344
        395.710          2.405          1.961
        400.030          2.830          2.397
        405.640          2.277          1.857
        410.480          2.382          1.972
        414.810          2.291          1.891
        419.900          2.140          1.751
        424.740          2.267          1.888
        429.840          1.891          1.521
        435.430          2.165          1.806
        440.280          1.777          1.427
        445.120          1.816          1.474
        448.680          2.012          1.676
        455.550          2.108          1.784
        460.140          1.775          1.458
        465.230          1.625          1.316
        470.320          1.902          1.601
        474.650          1.630          1.335
        479.490          1.935          1.647
        483.820          1.803          1.521
        489.170          1.535          1.260
        494.520          1.516          1.248
        500.110          1.783          1.523
        506.230          1.300          1.047
        511.320          1.451          1.204
        514.880          1.552          1.308
        519.720          1.339          1.101
        525.830          1.458          1.227
        530.420          1.456          1.229
        534.490          1.090          0.867
        540.340          1.559          1.343
        545.950          1.093          0.882
        550.530          1.193          0.986
        554.600          1.361          1.158
        558.930          1.314          1.115
        566.320          1.068          0.875
        569.120          1.083          0.893
        575.740          1.010          0.825
        585.670          1.344          1.167
        591.020          1.154          0.980
        596.110          0.961          0.792
        599.420          0.868          0.701
        605.020          0.926          0.763
        613.930          1.069          0.911
        620.040          1.056          0.902
        624.880          0.894          0.744
        630.990          1.130          0.983
        633.530          1.210          1.065
        639.390          1.122          0.980
        645.240          1.140          1.001
        651.360          0.871          0.736
        655.940          0.885          0.752
        659.510          0.680          0.548
        665.100          0.910          0.782
        670.700          1.032          0.906
        675.800          0.973          0.850
        680.640          0.843          0.722
        685.220          0.853          0.734
        688.780          0.862          0.745
        695.150          0.553          0.439
        698.970          0.598          0.485
