          a, nmKramers-Kr, mPa          Drude    Marachevsky     Gen_Plasma      Drude-Lor      Bren-Borm          Gauss        Casimir
        199.770        602.269        621.454        640.239        594.091        637.866        635.777        599.366        291.806
        203.360        538.774        556.317        574.054        530.724        571.833        569.843        536.295        252.259
        209.250        500.389        515.586        531.740        492.573        529.742        527.907        498.489        248.482
        214.880        364.652        377.945        392.731        357.075        390.923        389.226        363.194        141.171
        219.480        258.654        270.599        284.362        251.280        282.693        281.102        257.491         55.536
        224.590        182.416        193.049        205.768        175.273        204.239        202.758        181.525         -0.671
        228.440        -82.840        -73.084        -61.093        -89.809        -62.525        -63.928        -83.559       -252.412
        235.080       -162.029       -153.592       -142.747       -168.696       -144.029       -145.308       -162.505       -311.038
        239.930       -191.926       -184.321       -174.234       -198.376       -175.418       -176.613       -192.262       -327.820
        244.530       -199.812       -192.907       -183.483       -206.058       -184.583       -185.703       -200.036       -324.549
        249.890       -195.258       -189.075       -180.361       -201.273       -181.371       -182.412       -195.377       -308.373
        255.250       -186.770       -181.221       -173.157       -192.559       -174.086       -175.052       -186.804       -289.561
        260.610       -176.669       -171.679       -164.208       -182.240       -165.063       -165.962       -176.635       -270.266
        264.440       -169.911       -165.280       -158.203       -175.330       -159.009       -159.862       -169.838       -257.552
        270.310       -158.000       -153.861       -147.340       -163.193       -148.079       -148.867       -157.877       -237.385
        274.140       -151.030       -147.179       -140.994       -156.082       -141.692       -142.441       -150.882       -225.540
        279.750       -140.719       -137.248       -131.520       -145.569       -132.163       -132.858       -140.541       -208.733
        284.090       -136.205       -132.997       -127.595       -140.904       -128.199       -128.855       -136.009       -199.666
        289.950            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        295.560       -117.318       -114.700       -110.060       -121.643       -110.574       -111.140       -117.092       -170.430
        299.140       -112.102       -109.642       -105.213       -116.318       -105.702       -106.243       -111.871       -162.416
        305.500       -103.530       -101.323        -97.242       -107.558        -97.690        -98.189       -103.293       -149.308
        309.580        -98.460        -96.398        -92.524       -102.373        -92.948        -93.423        -98.221       -141.591
        314.680        -92.550        -90.655        -87.022        -96.324        -87.418        -87.864        -92.311       -132.633
        318.760        -88.138        -86.365        -82.912        -91.805        -83.288        -83.711        -87.900       -125.971
        325.640        -81.277        -79.689        -76.516        -84.771        -76.860        -77.249        -81.041       -115.658
        330.740        -76.616        -75.151        -72.169        -79.989        -72.491        -72.858        -76.385       -108.688
        335.070        -72.919        -71.549        -68.718        -76.192        -69.023        -69.371        -72.691       -103.178
        338.640            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        345.010        -65.237        -64.060        -61.544        -68.295        -61.813        -62.123        -65.020        -91.791
        348.840        -62.549        -61.437        -59.030        -65.528        -59.287        -59.584        -62.335        -87.826
        354.440        -58.861        -57.838        -55.582        -61.731        -55.822        -56.100        -58.654        -82.406
        360.550        -55.142        -54.205        -52.101        -57.897        -52.324        -52.584        -54.942        -76.960
        365.140        -52.539        -51.662        -49.664        -55.211        -49.875        -50.121        -52.345        -73.163
        369.720        -50.092        -49.270        -47.372        -52.686        -47.572        -47.806        -49.904        -69.604
        373.800        -48.031        -47.255        -45.440        -50.557        -45.631        -45.855        -47.848        -66.615
        380.930        -44.677        -43.973        -42.295        -47.089        -42.471        -42.678        -44.503        -61.766
        385.010        -42.889        -42.223        -40.617        -45.238        -40.785        -40.983        -42.719        -59.189
        390.100            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        395.710        -38.604        -38.027        -36.594        -40.800        -36.743        -36.920        -38.448        -53.042
        400.030        -37.026        -36.481        -35.111        -39.164        -35.254        -35.423        -36.875        -50.788
        405.640        -35.095        -34.588        -33.296        -37.159        -33.430        -33.590        -34.950        -48.036
        410.480        -33.529        -33.052        -31.823        -35.533        -31.950        -32.102        -33.389        -45.810
        414.810        -32.201        -31.749        -30.573        -34.152        -30.695        -30.840        -32.065        -43.927
        419.900        -30.722        -30.298        -29.181        -32.614        -29.296        -29.435        -30.591        -41.835
        424.740        -29.394        -28.995        -27.930        -31.232        -28.040        -28.171        -29.268        -39.961
        429.840        -28.070        -27.695        -26.683        -29.853        -26.787        -26.912        -27.949        -38.098
        435.430        -26.703        -26.353        -25.395        -28.429        -25.493        -25.612        -26.588        -36.179
        440.280            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        445.120        -24.525        -24.213        -23.340        -26.156        -23.429        -23.537        -24.417        -33.130
        448.680        -23.780        -23.481        -22.638        -25.378        -22.724        -22.828        -23.676        -32.091
        455.550        -22.421        -22.145        -21.355        -23.957        -21.435        -21.533        -22.322        -30.198
        460.140        -21.567        -21.304        -20.548        -23.063        -20.624        -20.718        -21.471        -29.011
        465.230        -20.666        -20.418        -19.696        -22.120        -19.770        -19.859        -20.574        -27.762
        470.320        -19.811        -19.578        -18.889        -21.225        -18.958        -19.044        -19.723        -26.580
        474.650        -19.119        -18.896        -18.234        -20.499        -18.301        -18.383        -19.034        -25.623
        479.490        -18.380        -18.169        -17.535        -19.724        -17.599        -17.677        -18.298        -24.604
        483.820        -17.749        -17.547        -16.937        -19.062        -16.999        -17.074        -17.669        -23.735
        489.170            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        494.520        -16.301        -16.121        -15.566        -17.540        -15.622        -15.691        -16.228        -21.747
        500.110        -15.602        -15.433        -14.905        -16.806        -14.958        -15.023        -15.532        -20.791
        506.230        -14.880        -14.721        -14.220        -16.045        -14.271        -14.332        -14.813        -19.803
        511.320        -14.310        -14.160        -13.681        -15.445        -13.728        -13.788        -14.247        -19.026
        514.880        -13.928        -13.783        -13.318        -15.042        -13.364        -13.422        -13.866        -18.506
        519.720        -13.429        -13.290        -12.844        -14.515        -12.889        -12.944        -13.369        -17.826
        525.830        -12.829        -12.699        -12.275        -13.882        -12.318        -12.370        -12.772        -17.012
        530.420        -12.401        -12.277        -11.869        -13.430        -11.909        -11.960        -12.346        -16.430
        534.490        -12.036        -11.916        -11.522        -13.044        -11.561        -11.610        -11.982        -15.936
        540.340            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        545.950        -11.077        -10.970        -10.611        -12.029        -10.646        -10.691        -11.028        -14.639
