          a, nm     Kramers-Kr          Drude    Marachevsky     Gen_Plasma      Drude-Lor      Bren-Borm          Gauss     T=0 Gen_Pl        Casimir
          0.150      -1765.098      -1699.316      -1637.235      -1804.950      -1645.118      -1651.804      -1776.109      -1663.025      -2832.823
          0.180      -1546.312      -1500.848      -1443.057      -1596.320      -1449.881      -1456.603      -1549.386      -1385.948      -2360.686
          0.210      -1375.013      -1342.047      -1289.960      -1432.347      -1295.835      -1302.087      -1374.268      -1187.575      -2023.445
          0.240      -1236.866      -1212.059      -1165.649      -1299.689      -1170.718      -1176.371      -1234.298      -1039.183      -1770.514
          0.270      -1122.920      -1103.692      -1062.461      -1189.978      -1066.855      -1071.915      -1119.540       -923.566      -1573.790
          0.300      -1027.242      -1011.977       -975.310      -1097.649       -979.142       -983.660      -1023.577       -830.737      -1416.411
          0.330       -945.726       -933.364       -900.665      -1018.835       -904.029       -908.064       -942.050       -754.903      -1287.647
          0.360       -875.425       -865.246       -835.982       -950.754       -838.952       -842.567       -871.879       -692.232      -1180.343
          0.390       -814.170       -805.669       -779.377       -891.347       -782.015       -785.263       -810.821       -638.357      -1089.547
          0.420       -760.319       -753.132       -729.420       -839.057       -731.774       -734.703       -757.196       -592.665      -1011.722
          0.450       -712.610       -706.471       -685.003       -792.682       -687.116       -689.766       -709.719       -552.774       -944.274
          0.480       -670.056       -664.763       -645.257       -751.278       -647.161       -649.568       -667.390       -518.020       -885.257
          0.510       -631.871       -627.270       -609.486       -714.093       -611.209       -613.402       -629.417       -487.464       -833.183
          0.540       -597.421       -593.393       -577.127       -680.522       -578.694       -580.697       -595.166       -460.394       -786.895
          0.570       -566.193       -562.643       -547.722       -650.070       -549.150       -550.987       -564.120       -435.729       -745.480
          0.600       -537.761       -534.615       -520.889       -622.330       -522.195       -523.884       -535.855       -414.157       -708.206
          0.630       -511.774       -508.972       -496.311       -596.962       -497.510       -499.066       -510.020       -394.419       -674.482
          0.660       -487.937       -485.428       -473.723       -573.681       -474.826       -476.264       -486.321       -376.566       -643.823
          0.690       -466.000       -463.745       -452.898       -552.248       -453.916       -455.248       -464.510       -359.587       -615.831
          0.720       -445.752       -443.716       -433.645       -532.458       -434.586       -435.822       -444.376       -344.559       -590.171
          0.750      -1360.076      -1306.959      -1270.817      -1450.978      -1275.821      -1279.043      -1374.096       -330.813       -566.565
