     a, micro m Kramers-Kr, nJ          Drude    Marachevsky     Gen_Plasma      Drude-Lor      Bren-Borm          Gauss     T=0 Gen_Pl        Casimir
          0.200         36.535         35.599         34.216         37.943         34.374         34.539         36.541         31.906         54.377
          0.203         34.776         33.906         32.589         36.155         32.739         32.896         34.773         30.256         51.548
          0.209         32.128         31.354         30.137         33.460         30.274         30.420         32.112         27.770         47.316
          0.215         29.841         29.148         28.018         31.130         28.144         28.280         29.816         25.652         43.694
          0.219         28.132         27.496         26.431         29.386         26.550         26.679         28.100         24.075         41.004
          0.225         26.382         25.803         24.807         27.599         24.917         25.038         26.345         22.461         38.268
          0.228         25.158         24.619         23.669         26.348         23.774         23.889         25.118         21.342         36.366
          0.235         23.218         22.740         21.866         24.363         21.962         22.068         23.175         19.595         33.370
          0.240         21.926         21.486         20.663         23.039         20.753         20.853         21.880         18.417         31.387
          0.245         20.786         20.380         19.602         21.870         19.687         19.781         20.740         17.399         29.649
          0.250         19.556         19.184         18.455         20.607         18.534         18.623         19.508         16.296         27.782
          0.255         18.420         18.080         17.396         19.440         17.470         17.553         18.372         15.289         26.068
          0.261         17.371         17.059         16.416         18.360         16.485         16.564         17.323         14.366         24.492
          0.264         16.669         16.375         15.760         17.637         15.826         15.901         16.621         13.754         23.444
          0.270         15.664         15.396         14.821         16.601         14.883         14.953         15.617         12.868         21.949
          0.274         15.051         14.799         14.248         15.969         14.307         14.374         15.005         12.346         21.042
          0.280         14.210         13.978         13.461         15.100         13.516         13.579         14.164         11.620         19.801
          0.284         13.602         13.384         12.891         14.470         12.943         13.004         13.557         11.101         18.908
          0.290         12.834         12.634         12.171         13.675         12.220         12.277         12.790         10.426         17.784
          0.296         12.151         11.967         11.531         12.968         11.577         11.631         12.109          9.845         16.791
          0.299         11.741         11.565         11.146         12.542         11.190         11.241         11.699          9.499         16.195
          0.305         11.055         10.895         10.503         11.831         10.543         10.592         11.015          8.915         15.205
          0.310         10.643         10.492         10.116         11.403         10.155         10.201         10.604          8.562         14.611
          0.315         10.156         10.015          9.658         10.896          9.695          9.739         10.118          8.163         13.912
          0.319          9.788          9.654          9.311         10.512          9.347          9.389          9.751          7.839         13.385
          0.326          9.206          9.083          8.763          9.905          8.796          8.836          9.170          7.361         12.554
          0.331          8.803          8.688          8.384          9.485          8.415          8.453          8.769          7.023         11.982
          0.335          8.479          8.371          8.079          9.147          8.109          8.145          8.446          6.757         11.524
          0.339          8.224          8.120          7.839          8.881          7.868          7.902          8.192          6.541         11.163
          0.345          7.794          7.698          7.433          8.430          7.460          7.492          7.763          6.184         10.556
          0.349          7.549          7.457          7.202          8.174          7.228          7.259          7.519          5.991         10.212
          0.354          7.209          7.124          6.881          7.818          6.906          6.936          7.180          5.708          9.736
          0.361          6.861          6.781          6.552          7.452          6.575          6.604          6.833          5.422          9.249
          0.365          6.614          6.539          6.319          7.193          6.341          6.368          6.587          5.223          8.905
          0.370          6.379          6.307          6.097          6.946          6.118          6.144          6.353          5.027          8.578
          0.374          6.179          6.111          5.907          6.735          5.928          5.953          6.154          4.866          8.300
          0.381          5.849          5.785          5.595          6.387          5.614          5.637          5.825          4.597          7.843
