z (nm)	a	b	c	d	e
162	1108.4	1098.4	1094.2	1076.2	21.2	
166	1012.7	1007.1	1002.7	985.40	19.0	
170	926.85	923.71	919.56	902.96	17.1	
180	751.19	750.58	747.06	732.14	13.3	
190	616.00	616.71	613.70	600.28	10.5	
200	510.50	511.26	508.70	496.62	8.40	
250	225.16	225.71	224.45	217.11	3.30	
300	114.82	114.87	114.18	109.48	1.63	
350	64.634	64.574	64.176	61.004	0.98	
400	39.198	39.096	38.850	36.617	0.69	
450	25.155	25.034	24.874	23.247	0.54	
500	16.822	16.785	16.678	15.456	0.47	
550	11.678	11.669	11.595	10.654	0.42	
600	8.410	8.365		8.312	7.573	0.39	
650	6.216	6.151		6.113	5.522	0.38	
700	4.730	4.626		4.598	4.118	0.36	
746	3.614	3.620		5.598	3.198	0.35	
