     a, micro m     Kramers-Kr          Drude    Marachevsky     Gen_Plasma      Drude-Lor      Bren-Borm          Gauss     T=0 Gen_Pl
          0.150          0.623          0.600          0.578          0.637          0.581          0.583          0.627          0.587
          0.180          0.655          0.636          0.611          0.676          0.614          0.617          0.656          0.587
          0.210          0.680          0.663          0.638          0.708          0.640          0.644          0.679          0.587
          0.240          0.699          0.685          0.658          0.734          0.661          0.664          0.697          0.587
          0.270          0.714          0.701          0.675          0.756          0.678          0.681          0.711          0.587
          0.300          0.725          0.714          0.689          0.775          0.691          0.694          0.723          0.587
          0.330          0.734          0.725          0.699          0.791          0.702          0.705          0.732          0.586
          0.360          0.742          0.733          0.708          0.805          0.711          0.714          0.739          0.586
          0.390          0.747          0.739          0.715          0.818          0.718          0.721          0.744          0.586
          0.420          0.752          0.744          0.721          0.829          0.723          0.726          0.748          0.586
          0.450          0.755          0.748          0.725          0.839          0.728          0.730          0.752          0.585
          0.480          0.757          0.751          0.729          0.849          0.731          0.734          0.754          0.585
          0.510          0.758          0.753          0.732          0.857          0.734          0.736          0.755          0.585
          0.540          0.759          0.754          0.733          0.865          0.735          0.738          0.756          0.585
          0.570          0.760          0.755          0.735          0.872          0.737          0.739          0.757          0.584
          0.600          0.759          0.755          0.736          0.879          0.737          0.740          0.757          0.585
          0.630          0.759          0.755          0.736          0.885          0.738          0.740          0.756          0.585
          0.660          0.758          0.754          0.736          0.891          0.738          0.740          0.755          0.585
          0.690          0.757          0.753          0.735          0.897          0.737          0.739          0.754          0.584
          0.720          0.755          0.752          0.735          0.902          0.736          0.738          0.753          0.584
          0.750          2.401          2.307          2.243          2.561          2.252          2.258          2.425          0.584
