     a, micro m     Kramers-Kr          Drude    Marachevsky     Gen_Plasma      Drude-Lor      Bren-Borm          Gauss
          0.200          0.620          0.596          0.573          0.630          0.576          0.579          0.623
          0.203          0.623          0.600          0.577          0.634          0.580          0.582          0.626
          0.209          0.629          0.606          0.582          0.640          0.585          0.588          0.631
          0.215          0.634          0.612          0.588          0.646          0.591          0.593          0.636
          0.219          0.638          0.616          0.592          0.651          0.595          0.598          0.640
          0.225          0.642          0.621          0.596          0.656          0.599          0.602          0.644
          0.228          0.645          0.625          0.599          0.660          0.602          0.605          0.646
          0.235          0.650          0.630          0.605          0.666          0.608          0.611          0.651
          0.240          0.654          0.634          0.609          0.670          0.612          0.615          0.655
          0.245          0.657          0.638          0.612          0.674          0.615          0.618          0.658
          0.250          0.661          0.642          0.616          0.679          0.619          0.622          0.661
          0.255          0.665          0.646          0.620          0.683          0.623          0.626          0.665
          0.261          0.668          0.650          0.624          0.688          0.627          0.630          0.668
          0.264          0.670          0.653          0.626          0.691          0.629          0.633          0.670
          0.270          0.674          0.657          0.630          0.695          0.633          0.637          0.674
          0.274          0.676          0.660          0.633          0.698          0.636          0.639          0.676
          0.280          0.680          0.663          0.636          0.703          0.639          0.643          0.679
          0.284          0.682          0.666          0.639          0.706          0.642          0.645          0.681
          0.290          0.685          0.670          0.643          0.710          0.646          0.649          0.684
          0.296          0.688          0.673          0.646          0.714          0.649          0.652          0.687
          0.299          0.690          0.675          0.648          0.716          0.651          0.654          0.689
          0.305          0.693          0.679          0.651          0.720          0.654          0.658          0.692
          0.310          0.695          0.681          0.653          0.723          0.656          0.660          0.694
          0.315          0.698          0.684          0.656          0.726          0.659          0.662          0.696
          0.319          0.700          0.686          0.658          0.729          0.661          0.665          0.698
          0.326          0.703          0.689          0.662          0.733          0.665          0.668          0.701
          0.331          0.705          0.691          0.664          0.736          0.667          0.670          0.703
          0.335          0.707          0.693          0.666          0.738          0.669          0.672          0.705
          0.339          0.708          0.695          0.668          0.740          0.671          0.674          0.706
          0.345          0.711          0.698          0.670          0.744          0.673          0.677          0.708
          0.349          0.712          0.700          0.672          0.746          0.675          0.678          0.710
          0.354          0.714          0.702          0.674          0.749          0.677          0.681          0.712
          0.361          0.716          0.704          0.677          0.752          0.680          0.683          0.714
          0.365          0.718          0.706          0.679          0.755          0.682          0.685          0.715
          0.370          0.720          0.708          0.681          0.757          0.683          0.687          0.717
          0.374          0.721          0.709          0.682          0.759          0.685          0.688          0.718
          0.381          0.723          0.712          0.685          0.762          0.688          0.691          0.721
          0.385          0.725          0.713          0.686          0.764          0.689          0.692          0.722
          0.390          0.726          0.715          0.688          0.767          0.691          0.694          0.723
          0.396          0.728          0.717          0.690          0.769          0.693          0.696          0.725
          0.400          0.729          0.718          0.691          0.771          0.694          0.697          0.726
          0.406          0.731          0.720          0.693          0.774          0.696          0.699          0.728
          0.410          0.732          0.722          0.695          0.776          0.697          0.701          0.729
          0.415          0.733          0.723          0.696          0.777          0.699          0.702          0.730
          0.420          0.734          0.724          0.698          0.780          0.700          0.704          0.731
          0.425          0.736          0.726          0.699          0.782          0.702          0.705          0.732
          0.430          0.737          0.727          0.700          0.784          0.703          0.706          0.734
          0.435          0.738          0.728          0.702          0.786          0.705          0.708          0.735
          0.440          0.739          0.730          0.703          0.788          0.706          0.709          0.736
          0.445          0.740          0.731          0.705          0.789          0.707          0.710          0.737
          0.449          0.741          0.732          0.705          0.791          0.708          0.711          0.738
