x	Force	Error high	Error low
0.7046	-443.5	-447.72	-438.01
0.74646	-421.3	-426.6	-415.2
0.79377	-393.73	-400.03	-388.12
0.84409	-370.26	-375.28	-364.24
0.88762	-349.69	-354.49	-343.44
0.94389	-327.73	-332.36	-321.98
1.00653	-315.24	-319.27	-308.89
1.08842	-288.09	-293.11	-283.06
1.19688	-252.96	-256.32	-247.51
1.28346	-238.37	-242.72	-233.08
1.43521	-213.3	-216.63	-206.91
1.66425	-177.71	-181.06	-173.02
1.968	-150.06	-154.41	-145.49
2.3271	-127.97	-132.52	-122.32
2.7212	-118.59	-122.61	-113.23
3.2088	-118.23	-124.58	-112.18
3.805	-110.03	-117.5	-102.23
4.4494	-96.06	-106.42	-85.28
5.2467	-87.9	-100.99	-75.33
6.1868	-62.64	-79.83	-46.54
7.2751	-120.85	-141.11	-100.76
