x. nm	Low	Up
162.97	56.2132	21.1459
164.47	50.5541	20.3056
164.96	48.7823	19.4653
166.98	41.864	18.721
168.49	37.0583	17.9768
170.5	31.1112	17.2325
172.01	27.0154	16.3202
174.02	21.9771	15.4319
175.53	18.5156	14.8077
178.05	13.3209	13.9194
181.08	7.9869	13.0552
184.61	2.9196	12.0949
188.15	-1.0171	11.1827
193.7	-7.965	9.7663
197.74	-7.8532	8.8541
201.28	-7.6152	8.1339
207.86	-7.01	6.9577
215.45	-6.1917	6.0697
217.75	-5.9356	5.8163
221.53	-5.5142	5.3977
229.13	-4.7117	4.6537
232.5	-4.3982	4.3429
238.25	-3.9643	3.9098
245.21	-3.5572	3.5245
250.93	-3.2393	3.2381
259.44	-2.8122	2.8181
262.09	-2.6992	2.7104
273.66	-2.2832	2.3301
278.83	-2.11	2.183
284.33	-1.9466	2.0369
294.55	-1.7138	1.7756
297.53	-1.6578	1.6971
309.21	-1.4652	1.4145
311.8	-1.4137	1.3682
320.38	-1.2485	1.2909
327.03	-1.1677	1.2489
333.07	-1.1039	1.1834
344.24	-0.9593	1.0491
350.38	-0.9142	0.9859
356.43	-0.8866	0.9341
377.75	-0.7896	0.7911
380.83	-0.7764	0.7713
394.5	-0.7167	0.6805
402.15	-0.6783	0.6522
415.32	-0.6197	0.6446
428.03	-0.5879	0.6295
436.64	-0.5707	0.5862
448.34	-0.5416	0.5104
458.97	-0.5216	0.4931
467.12	-0.5251	0.4873
476.74	-0.5207	0.4592
487.93	-0.495	0.4403
510.75	-0.447	0.5133
510.77	-0.447	0.5134
532.6	-0.4501	0.5144
539.18	-0.4457	0.4941
549.86	-0.4128	0.4672
565.07	-0.3724	0.4735
572.19	-0.3736	0.4683
596.54	-0.3949	0.4129
606.2	-0.3734	0.3979
623.95	-0.3216	0.4082
637.17	-0.3251	0.4234
656.44	-0.344	0.4152
671.18	-0.3312	0.401
687.4	-0.3185	0.3944
704.17	-0.3411	0.4026
719.38	-0.365	0.4226
730.06	-0.3529	0.4279
738.17	-0.3161	0.4022
744.27	-0.2863	0.3565
