eV	Re eps	Im eps
9919	1.00E+00	3.84E-06
9184	1.00E+00	5.08E-06
8551	1.00E+00	6.58E-06
8266	1.00E+00	9.96E-07
7085	1.00E+00	1.75E-06
6199	1.00E+00	2.86E-06
4959	1.00E+00	6.46E-06
4133	1.00E+00	1.27E-05
3542	1.00E+00	2.24E-05
3100	1.00E+00	3.68E-05
2480	9.99E-01	8.38E-05
2066	9.99E-01	1.65E-04
2000	9.99E-01	1.76E-04
1952	9.99E-01	1.92E-04
1905	9.99E-01	2.10E-04
1860	9.99E-01	2.28E-04
1815	9.99E-01	2.50E-04
1772	9.99E-01	2.72E-04
1771	9.99E-01	2.92E-04
1730	9.99E-01	2.96E-04
1688	9.99E-01	3.24E-04
1648	9.99E-01	3.52E-04
1609	9.99E-01	3.82E-04
1570	9.99E-01	4.18E-04
1550	9.99E-01	3.56E-04
1533	9.99E-01	4.54E-04
1496	9.98E-01	4.96E-04
1487	9.99E-01	3.80E-04
1460	9.98E-01	5.40E-04
1426	9.98E-01	5.84E-04
1392	9.98E-01	6.35E-04
1358	9.98E-01	6.91E-04
1326	9.98E-01	7.51E-04
1294	9.98E-01	8.17E-04
1263	9.98E-01	8.89E-04
1254	9.98E-01	6.39E-04
1233	9.98E-01	9.65E-04
1204	9.98E-01	1.05E-03
1188	9.98E-01	8.79E-04
1175	9.98E-01	1.14E-03
1147	9.98E-01	1.23E-03
1119	9.98E-01	1.34E-03
1093	9.98E-01	1.45E-03
1067	9.98E-01	1.58E-03
1041	9.98E-01	1.72E-03
1016	9.98E-01	1.86E-03
1012	9.98E-01	1.06E-03
992	9.98E-01	1.82E-03
968	9.98E-01	1.94E-03
945	9.98E-01	2.10E-03
929.4	9.98E-01	1.44E-03
923	9.98E-01	2.28E-03
901	9.98E-01	2.46E-03
879	9.99E-01	2.68E-03
858	1.00E+00	1.26E-03
851.5	9.98E-01	1.92E-03
838	9.86E-01	3.87E-04
818	9.98E-01	4.18E-04
798	9.97E-01	4.49E-04
779	9.97E-01	4.83E-04
776.4	9.98E-01	4.19E-04
760	9.97E-01	5.25E-04
742	9.96E-01	5.67E-04
725	9.96E-01	6.11E-04
707	9.96E-01	6.63E-04
704.9	9.97E-01	5.59E-04
690	9.96E-01	7.16E-04
674	9.95E-01	7.72E-04
658	9.95E-01	8.36E-04
642	9.95E-01	9.04E-04
637.5	9.96E-01	7.38E-04
627	9.94E-01	9.75E-04
612	9.94E-01	1.05E-03
597	9.94E-01	1.14E-03
583	9.93E-01	1.23E-03
572.9	9.94E-01	1.22E-03
569	9.93E-01	1.33E-03
555	9.93E-01	1.43E-03
542	9.92E-01	1.54E-03
529	9.92E-01	1.67E-03
524.9	9.93E-01	1.46E-03
516	9.91E-01	1.80E-03
504	9.91E-01	1.94E-03
500.3	9.92E-01	1.81E-03
492	9.90E-01	2.09E-03
480	9.90E-01	2.25E-03
469	9.89E-01	2.41E-03
458	9.89E-01	2.61E-03
452.2	9.91E-01	1.99E-03
447	9.88E-01	2.80E-03
436	9.88E-01	3.02E-03
426	9.87E-01	3.24E-03
415	9.86E-01	3.52E-03
406	9.86E-01	3.75E-03
396	9.85E-01	4.03E-03
395.4	9.88E-01	2.98E-03
386	9.84E-01	4.37E-03
377	9.84E-01	4.68E-03
368	9.83E-01	5.02E-03
359	9.82E-01	5.39E-03
351	9.81E-01	5.77E-03
342	9.80E-01	6.22E-03
334	9.79E-01	6.67E-03
326	9.79E-01	7.14E-03
308	9.78E-01	7.67E-03
306	9.77E-01	8.18E-03
303	9.75E-01	8.83E-03
300	9.76E-01	1.01E-02
296	9.74E-01	9.42E-03
289	9.73E-01	1.01E-02
282	9.72E-01	1.08E-02
275	9.71E-01	1.16E-02
269	9.70E-01	1.23E-02
262	9.68E-01	1.32E-02
260	9.70E-01	1.51E-02
256	9.67E-01	1.41E-02
250	9.66E-01	1.50E-02
244	9.64E-01	1.60E-02
238	9.63E-01	1.72E-02
232	9.61E-01	1.83E-02
227	9.60E-01	1.94E-02
221	9.58E-01	2.08E-02
220	9.62E-01	2.39E-02
216	9.57E-01	2.21E-02
211	9.55E-01	2.35E-02
206	9.53E-01	2.50E-02
201	9.51E-01	2.65E-02
200	9.56E-01	3.11E-02
196	9.50E-01	2.83E-02
191	9.48E-01	3.02E-02
187	9.46E-01	3.17E-02
182	9.44E-01	3.38E-02
180	9.50E-01	3.96E-02
178	9.42E-01	3.57E-02
174	9.40E-01	3.76E-02
170	9.38E-01	3.97E-02
166	9.36E-01	4.20E-02
162	9.34E-01	4.45E-02
158	9.32E-01	4.71E-02
154	9.30E-01	4.98E-02
150	9.28E-01	5.26E-02
147	9.26E-01	5.51E-02
143	9.23E-01	5.84E-02
140	9.21E-01	6.11E-02
136	9.18E-01	6.50E-02
133	9.16E-01	6.84E-02
130	9.14E-01	7.18E-02
127	9.12E-01	7.48E-02
124	9.10E-01	7.81E-02
121	9.08E-01	8.15E-02
120	9.28E-01	1.04E-01
118	9.05E-01	8.52E-02
115	9.02E-01	8.92E-02
112	9.00E-01	9.35E-02
110	8.97E-01	9.64E-02
107	8.94E-01	1.01E-01
105	9.33E-01	1.21E-01
104	8.91E-01	1.06E-01
102	8.88E-01	1.10E-01
100	8.86E-01	1.14E-01
98	8.75E-01	1.50E-01
96	8.73E-01	1.57E-01
94	8.68E-01	1.63E-01
92	8.66E-01	1.70E-01
