eV	Re eps	Im eps
10000	0.9999824	9.77991E-07
8558	0.999976	1.80598E-06
7100	0.9999656	3.59994E-06
5294	0.999944001	1.03397E-05
5154	0.999943201	1.13397E-05
5018	0.999945801	1.24397E-05
4886	0.999941001	1.59395E-06
4758	0.999934001	1.76194E-06
3547	0.999870204	5.25966E-06
2575	0.999748016	1.72578E-05
1680	0.99939409	8.2575E-05
1470	0.999206153	0.000133747
1287	0.998966256	0.000215888
1126	0.998660419	0.00034377
1012	0.998362609	0.000497592
886	0.997920926	0.00078718
735	0.997201412	0.001477928
593	0.996620666	0.002954998
578	0.996680164	0.003214655
563	0.996940031	0.003035349
548	0.996680033	0.003294522
533	0.996639582	0.003593952
492	0.997136709	0.004613393
479	0.997714949	0.005034254
467	0.998892795	0.005476986
454	1.001706623	0.000648553
442	0.998920169	0.000699622
431	0.997741133	0.000757143
321	0.99177613	0.001830427
215	0.980646694	0.005525762
200	0.980635118	0.008714464
190	0.980628468	0.010100856
180	0.980618478	0.01188336
170	0.980606868	0.013665864
160	0.980592068	0.015646424
152	0.963696077	0.012231982
150	0.96365208	0.01786694
140	0.96362464	0.0206157
130	0.96359089	0.0235608
120	0.96354168	0.02729126
110	0.96347889	0.0314144
102	0.92350296	0.0278719
100	0.92336725	0.03575292
95	0.9233092	0.03863622
90	0.92324232	0.04171174
85	0.92312757	0.04651724
80	0.92302152	0.05055386
75	0.92288952	0.05516714
74	0.92278905	0.05843488
72	0.92265045	0.06266372
70	0.9224952	0.06708478
68	0.92220777	0.07458136
66	0.92173296	0.0855379
64	0.92100921	0.0999544
62	0.91993096	0.1182153
60	0.9187992	0.13474622
55	0.91116921	0.2152864
52	0.90091221	0.2902522
50	0.89273721	0.3383072
48	0.88607721	0.3729068
46	0.88044921	0.3998176
44	0.88003221	0.4017398
42	0.88723221	0.3671402
40	0.89681721	0.3152408
38	0.89999721	0.2960188
25	0.95928	0.299282
24.50	0.951065	0.300048
24.00	0.940915	0.300492
23.50	0.930813	0.300916
23.00	0.921068	0.299376
22.50	0.899185	0.299832
22.00	0.879437	0.300516
21.50	0.8602	0.299238
21.00	0.850496	0.29952
20.50	0.83904	0.320608
20.00	0.829556	0.34968
19.50	0.809683	0.370644
19.00	0.799311	0.39928
18.50	0.759315	0.420332
18.00	0.729872	0.450846
17.50	0.6996	0.499778
17.00	0.68058	0.550368
16.50	0.640305	0.599248
16.00	0.57998	0.650928
15.50	0.559509	0.69946
15.00	0.549504	0.74992
14.50	0.549703	0.800496
14.00	0.540639	0.90092
13.50	0.550184	0.93009
13.00	0.560303	0.950304
12.50	0.569968	0.980226
12.00	0.580255	1.000968
11.50	0.589836	1.01896
11.00	0.599697	1.049904
10.50	0.609395	1.099308
10.00	0.621233	1.199544
9.50	0.609375	1.25
9.00	0.604075	1.3029
8.50	0.542619	1.39582
8.00	0.458231	1.55652
7.50	0.3843	1.6524
7.00	0.298771	1.79838
6.50	0.226791	2.00764
6.46	-0.0872	2.3754
6.36	-0.1332	2.4624
6.26	-0.1575	2.5288
6.20	-0.1603	2.6196
6.14	-0.1617	2.6656
6.08	-0.1631	2.712
6.02	-0.1416	2.783
5.90	-0.096	2.8792
5.85	-0.0723	2.9036
5.79	-0.0243	2.9524
5.74	0	2.9768
5.69	0.0488	2.9766
5.64	0.0488	2.9766
5.59	0.0735	3.0008
5.53	0.0976	2.976
5.49	0.1215	2.9512
5.44	0.0968	2.9274
5.39	0.0233	2.7144
5.34	-0.5957	3.3276
5.30	0.3584	3.267
5.25	0.1984	3.072
5.21	0.1729	3.048
5.17	0.1225	3
5.12	0.1225	3
5.08	0.0735	3.0008
5.00	0.0735	3.0008
4.96	0.0488	2.9766
4.92	0	2.9768
4.88	0	2.9768
4.84	-0.0245	3.0012
4.80	-0.0488	2.9766
4.77	-0.0729	2.952
4.73	-0.1215	2.9512
4.66	-0.2673	2.9464
4.66	-0.2187	2.9484
4.59	-0.2952	3.0186
4.56	-0.2952	3.0186
4.53	-0.3444	3.016
4.49	-0.3936	3.013
4.46	-0.4428	3.0096
4.43	-0.4693	3.0324
4.40	-0.492	3.0058
4.36	-0.5412	3.0016
4.34	-0.6175	3.0192
4.30	-0.6669	3.014
4.28	-0.7163	3.0084
4.25	-0.8151	2.996
4.22	-0.8928	3.0104
4.19	-1	3.045
4.16	-1.0584	3.087
4.13	-1.1385	3.0992
4.11	-1.2288	3.1616
4.08	-1.29	3.2032
4.05	-1.404	3.2342
4.03	-1.4672	3.2754
3.99	-1.5428	3.3696
3.97	-1.608	3.4112
3.95	-1.7073	3.4736
3.92	-1.8216	3.591
3.90	-1.8693	3.6676
3.87	-1.9176	3.745
3.85	-2.002	3.8448
3.80	-2.1168	4.0626
3.70	-2.2411	4.446
3.60	-2.304	4.8608
3.50	-2.3501	5.226
3.40	-2.3667	5.6444
3.30	-2.2945	6.0192
3.20	-2.2444	6.36
3.10	-2.22	6.665
3.00	-2.1808	6.9006
2.90	-2.2272	7.2046
2.80	-2.2401	7.56
2.70	-2.32	7.8318
2.60	-2.4131	8.19
2.50	-2.5437	8.5084
2.40	-2.8248	8.9414
2.30	-3.094	9.5232
2.20	-3.4425	10.2528
2.10	-3.6328	11.1354
2.00	-3.8423	12.1536
1.95	-3.9193	12.6576
1.90	-4.0117	13.2756
1.85	-4.0584	13.969
1.80	-4.1025	14.6792
1.75	-4.0953	15.4696
1.70	-3.9813	16.4084
1.65	-3.4751	17.172
1.60	-3.3824	18.084
1.55	-2.852	19.1142
1.50	-2.142	19.7872
1.45	-1.4697	20.3896
1.40	-0.7095	20.7952
1.35	-0.1947	21.0596
1.30	0.1959	21.32
1.25	0.3285	21.5812
1.20	0.3325	22.11
1.15	0.3375	22.78
1.10	0.4809	23.596
1.05	0.56	24.4968
1.00	0.714	25.4848
0.98	0.72	25.915
0.96	0.8712	26.3466
0.94	0.9529	26.856
0.92	1.1085	27.2948
0.90	1.1175	27.74
0.88	1.2064	28.413
0.86	1.532	29.3178
0.84	2.2011	28.762
0.82	1.0836	29.944
0.80	1.7292	30.8656
0.78	2.0696	31.647
0.76	2.4955	32.3532
0.74	3.0081	32.98
0.72	3.5303	33.6096
0.70	4.0523	34.0764
0.68	4.5036	34.632
0.66	5.2204	35.256
0.64	6.1056	35.696
0.62	7.0467	35.6956
0.60	7.9712	35.5134
0.58	8.7035	35.1708
0.56	9.4581	34.39
0.54	10.1229	33.11
0.52	10.1219	30.954
0.50	9.2565	28.5292
0.49	8.4816	27.027
0.48	7.2821	25.482
0.47	5.6457	23.9624
0.46	3.37	22.5888
0.45	0.66	21.775
0.44	-2.2236	21.328
0.43	-5.248	21.1968
0.42	-8.6043	21.4124
0.41	-12.1088	22.1184
0.40	-15.7023	23.3064
0.39	-19.05	24.8992
0.38	-22.2721	26.964
0.37	-25.2144	29.267
0.36	-28.036	31.6662
0.35	-31.0565	34.0308
0.34	-34.558	36.7728
0.33	-38.6319	40.592
0.32	-43.0952	46.2186
0.31	-48.9769	56.664
0.30	-57.9715	127.0332
0.29	7.8589	25.398
0.28	-29.8776	16.159
0.27	-44.7204	27.92
0.26	-52.8272	31.4496
0.25	-61.4075	33.21
0.24	-70.9555	34.8132
0.23	-82.0125	36.7092
0.22	-94.4064	39.68
0.21	-108.4105	43.2888
0.20	-124.1012	48.0816
0.19	-141.9215	54.0552
0.18	-161.6355	62.3708
0.17	-183.4041	71.708
0.16	-208.1939	82.614
0.15	-238.1184	94.32
0.14	-274.2285	108.6428
0.13	-320.1528	127.2454
0.12	-376.4341	154.362
0.11	-440.0321	192.192
0.0992	-568.32	253.76
0.0868	-722.8224	344.448
0.0744	-953.7836	482.088
0.0620	-1320.2511	727.184
0.0558	-1580.25	925.12
0.0496	-1920.75	1218.28
0.0434	-2386.56	1678.9
0.0372	-2927.19	2424.4
0.0310	-3602.97	3584.96
0.0279	-4004.67	4419.56
0.0248	-4435.2	5487.92
0.0217	-4901.95	6920.28
0.0186	-5413.2	8872.22
0.0155	-5949.3204	11629.8
0.0124	-6494.31	15718
0.0099	-6935.04	20736
0.0081	-7297.36	26511.9
0.0062	-7622.56	35616
